community_id,node_key,label,analyst_label,size,top_labels,top_types,analyst_summary,community,display_label
53,COMMUNITY:53,DUTCH AND AUSTRALIAN OFFICIALS; LEBANESE INTERIOR MINISTRY; Attempted dynamiting of parliament | Attempted attack linked to Communist and rightist parties | Violence | 1957-11-06; Dutch-Australian cooperation statement | Statement of intent to strengthen cooperation against Indonesian demands | PolicyAction | 1957-11-06,"U.S. reporting, diplomacy, and intelligence assessment",4,DUTCH AND AUSTRALIAN OFFICIALS; LEBANESE INTERIOR MINISTRY; Attempted dynamiting of parliament | Attempted attack linked to Communist and rightist parties | Violence | 1957-11-06; Dutch-Australian cooperation statement | Statement of intent to strengthen cooperation against Indonesian demands | PolicyAction | 1957-11-06,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",This group connects 4 lower-level nodes around: DUTCH AND AUSTRALIAN OFFICIALS; LEBANESE INTERIOR MINISTRY; Attempted dynamiting of parliament | Attempted attack linked to Communist and rightist parties | Violence | 1957-11-06; Dutch-Australian cooperation statement | Statement of intent to strengthen cooperation against Indonesian demands | PolicyAction | 1957-11-06.,53,DUTCH AND AUSTRALIAN OFFICIALS; LEBANESE INTERIOR MINISTRY; Attempted dynamiting of parliament | Attempted attack linked to Communist and rightist parties | Violence | 1957-11-06; Dutch-Australian cooperation statement | Statement of intent to strengthen cooperation against Indonesian demands | PolicyAction | 1957-11-06
54,COMMUNITY:54,NATIONAL TRADE UNION COUNCIL; WORKERS AND SOLDIERS COUNCIL OF SZOLNOK; WORKERS COMMITTEE OF GREATER MISKOLC; GENERAL STRIKE IN HUNGARY,Labor unrest and internal political pressure,4,NATIONAL TRADE UNION COUNCIL; WORKERS AND SOLDIERS COUNCIL OF SZOLNOK; WORKERS COMMITTEE OF GREATER MISKOLC; GENERAL STRIKE IN HUNGARY,"{""CanonicalEntity"": 4}",This group connects 4 lower-level nodes around: NATIONAL TRADE UNION COUNCIL; WORKERS AND SOLDIERS COUNCIL OF SZOLNOK; WORKERS COMMITTEE OF GREATER MISKOLC; GENERAL STRIKE IN HUNGARY.,54,NATIONAL TRADE UNION COUNCIL; WORKERS AND SOLDIERS COUNCIL OF SZOLNOK; WORKERS COMMITTEE OF GREATER MISKOLC; GENERAL STRIKE IN HUNGARY
55,COMMUNITY:55,AMBASSADOR REISCHAUER; AYUB REGIME; FINANCE MINISTER MIZUTA; Negotiations on postwar aid | Japan is preparing to negotiate its obligations for postwar aid repayment. | Negotiation | mid-April 1961,AMBASSADOR REISCHAUER; AYUB REGIME; FINANCE MINISTER MIZUTA; Negotiations on postwar aid |,4,AMBASSADOR REISCHAUER; AYUB REGIME; FINANCE MINISTER MIZUTA; Negotiations on postwar aid | Japan is preparing to negotiate its obligations for postwar aid repayment. | Negotiation | mid-April 1961,"{""CanonicalEntity"": 3, ""EventCluster"": 1}",This group connects 4 lower-level nodes around: AMBASSADOR REISCHAUER; AYUB REGIME; FINANCE MINISTER MIZUTA; Negotiations on postwar aid | Japan is preparing to negotiate its obligations for postwar aid repayment. | Negotiation | mid-April 1961.,55,AMBASSADOR REISCHAUER; AYUB REGIME; FINANCE MINISTER MIZUTA; Negotiations on postwar aid | Japan is preparing to negotiate its obligations for postwar aid repayment. | Negotiation | mid-April 1961
56,COMMUNITY:56,BOTI; CUBAN ECONOMY; FRESQUET; PAZOS,Cold War crisis monitoring and escalation,4,BOTI; CUBAN ECONOMY; FRESQUET; PAZOS,"{""CanonicalEntity"": 4}",This group connects 4 lower-level nodes around: BOTI; CUBAN ECONOMY; FRESQUET; PAZOS.,56,BOTI; CUBAN ECONOMY; FRESQUET; PAZOS
57,COMMUNITY:57,HSINCHU AIRFIELD; PENG MENG-CHI; Resupply Flight | Resupply flights from Hsinchu airfield to the border area. | MilitaryAction | 1960-01-01; Visit to Thailand | Visit of Peng Meng-chi to Thailand where airfield use was requested. | Travel | 1960-01-01,"Military posture, security forces, and regime stability",4,HSINCHU AIRFIELD; PENG MENG-CHI; Resupply Flight | Resupply flights from Hsinchu airfield to the border area. | MilitaryAction | 1960-01-01; Visit to Thailand | Visit of Peng Meng-chi to Thailand where airfield use was requested. | Travel | 1960-01-01,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",This group connects 4 lower-level nodes around: HSINCHU AIRFIELD; PENG MENG-CHI; Resupply Flight | Resupply flights from Hsinchu airfield to the border area. | MilitaryAction | 1960-01-01; Visit to Thailand | Visit of Peng Meng-chi to Thailand where airfield use was requested. | Travel | 1960-01-01.,57,HSINCHU AIRFIELD; PENG MENG-CHI; Resupply Flight | Resupply flights from Hsinchu airfield to the border area. | MilitaryAction | 1960-01-01; Visit to Thailand | Visit of Peng Meng-chi to Thailand where airfield use was requested. | Travel | 1960-01-01
58,COMMUNITY:58,BRITISH AMBASSADOR TO EGYPT; EGYPTS CHIEF UN DELEGATE; Recommendation for Mediterranean command headquarters | The British Ambassador recommended that the headquarters of the proposed Allied command for the eastern; Effort to postpone UN action on Canal issue | Egyptian diplomats approached US officials to develop a new formula for settling the Suez Canal dispute and to pos,"U.S. reporting, diplomacy, and intelligence assessment",4,BRITISH AMBASSADOR TO EGYPT; EGYPTS CHIEF UN DELEGATE; Recommendation for Mediterranean command headquarters | The British Ambassador recommended that the headquarters of the proposed Allied command for the eastern ; Effort to postpone UN action on Canal issue | Egyptian diplomats approached US officials to develop a new formula for settling the Suez Canal dispute and to pos,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",This group connects 4 lower-level nodes around: BRITISH AMBASSADOR TO EGYPT; EGYPTS CHIEF UN DELEGATE; Recommendation for Mediterranean command headquarters | The British Ambassador recommended that the headquarters of the proposed Allied command for the eastern; Effort to postpone UN action on Canal issue | Egyptian diplomats approached US officials to develop a new formula for settling the Suez Canal dispute and to pos.,58,BRITISH AMBASSADOR TO EGYPT; EGYPTS CHIEF UN DELEGATE; Recommendation for Mediterranean command headquarters | The British Ambassador recommended that the headquarters of the proposed Allied command for the eastern; Effort to postpone UN action on Canal issue | Egyptian diplomats approached US officials to develop a new formula for settling the Suez Canal dispute and to pos
59,COMMUNITY:59,ISRAELI BORDER SETTLEMENTS; SYRIAN ENGINEER OFFICER; Model Settlement Preparation | Egyptian army engineers prepared a model settlement for training. | Other | 1956-09-23; MODEL SETTLEMENT,"Military posture, security forces, and regime stability",4,ISRAELI BORDER SETTLEMENTS; SYRIAN ENGINEER OFFICER; Model Settlement Preparation | Egyptian army engineers prepared a model settlement for training. | Other | 1956-09-23; MODEL SETTLEMENT,"{""CanonicalEntity"": 3, ""EventCluster"": 1}",This group connects 4 lower-level nodes around: ISRAELI BORDER SETTLEMENTS; SYRIAN ENGINEER OFFICER; Model Settlement Preparation | Egyptian army engineers prepared a model settlement for training. | Other | 1956-09-23; MODEL SETTLEMENT.,59,ISRAELI BORDER SETTLEMENTS; SYRIAN ENGINEER OFFICER; Model Settlement Preparation | Egyptian army engineers prepared a model settlement for training. | Other | 1956-09-23; MODEL SETTLEMENT
60,COMMUNITY:60,AUGUSTIN MARTINEZ SANCHEZ; KRIM; MANUEL FERNANDEZ; TUNISIAN OFFICIAL,"U.S. reporting, diplomacy, and intelligence assessment",4,AUGUSTIN MARTINEZ SANCHEZ; KRIM; MANUEL FERNANDEZ; TUNISIAN OFFICIAL,"{""CanonicalEntity"": 4}",This group connects 4 lower-level nodes around: AUGUSTIN MARTINEZ SANCHEZ; KRIM; MANUEL FERNANDEZ; TUNISIAN OFFICIAL.,60,AUGUSTIN MARTINEZ SANCHEZ; KRIM; MANUEL FERNANDEZ; TUNISIAN OFFICIAL
61,COMMUNITY:61,BRITISH PRESS; BRITISH UN REPRESENTATIVES; Request for American views | British UN representatives requested American views on a proposed weakening of the Assembly resolution. | Communication | 1953-09-0; Public attitude reflection | The British press reflected a dominant public attitude regarding the admission of Communist China to the UN. | Speech | 1953-09-04,Chinese policy and regional positioning,4,BRITISH PRESS; BRITISH UN REPRESENTATIVES; Request for American views | British UN representatives requested American views on a proposed weakening of the Assembly resolution. | Communication | 1953-09-0; Public attitude reflection | The British press reflected a dominant public attitude regarding the admission of Communist China to the UN. | Speech | 1953-09-04,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",This group connects 4 lower-level nodes around: BRITISH PRESS; BRITISH UN REPRESENTATIVES; Request for American views | British UN representatives requested American views on a proposed weakening of the Assembly resolution. | Communication | 1953-09-0; Public attitude reflection | The British press reflected a dominant public attitude regarding the admission of Communist China to the UN. | Speech | 1953-09-04.,61,BRITISH PRESS; BRITISH UN REPRESENTATIVES; Request for American views | British UN representatives requested American views on a proposed weakening of the Assembly resolution. | Communication | 1953-09-0; Public attitude reflection | The British press reflected a dominant public attitude regarding the admission of Communist China to the UN. | Speech | 1953-09-04
62,COMMUNITY:62,DEPUTY PREMIER NHOUY; KHOU GOVERNMENT; MANGAL TRIBES; Kandahar disturbances | Large-scale rioting that occurred in Kandahar. | Violence | December,"Government leadership, cabinet politics, and state decision-making",4,DEPUTY PREMIER NHOUY; KHOU GOVERNMENT; MANGAL TRIBES; Kandahar disturbances | Large-scale rioting that occurred in Kandahar. | Violence | December,"{""CanonicalEntity"": 3, ""EventCluster"": 1}",This group connects 4 lower-level nodes around: DEPUTY PREMIER NHOUY; KHOU GOVERNMENT; MANGAL TRIBES; Kandahar disturbances | Large-scale rioting that occurred in Kandahar. | Violence | December.,62,DEPUTY PREMIER NHOUY; KHOU GOVERNMENT; MANGAL TRIBES; Kandahar disturbances | Large-scale rioting that occurred in Kandahar. | Violence | December
63,COMMUNITY:63,JAPANESE NATIONALIST GOVERNMENT; PEIPING RAILWAY BUREAU; British opposition to Japanese treaty negotiations | The British Mission Chief in Tokyo requested information on Japanese intentions regarding a treaty with the; Closure of Manchurian railways | Peiping authorities suspended passenger and commercial freight service on most of the Manchurian rail network due to military t,Chinese policy and regional positioning,4,JAPANESE NATIONALIST GOVERNMENT; PEIPING RAILWAY BUREAU; British opposition to Japanese treaty negotiations | The British Mission Chief in Tokyo requested information on Japanese intentions regarding a treaty with the; Closure of Manchurian railways | Peiping authorities suspended passenger and commercial freight service on most of the Manchurian rail network due to military t,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",This group connects 4 lower-level nodes around: JAPANESE NATIONALIST GOVERNMENT; PEIPING RAILWAY BUREAU; British opposition to Japanese treaty negotiations | The British Mission Chief in Tokyo requested information on Japanese intentions regarding a treaty with the; Closure of Manchurian railways | Peiping authorities suspended passenger and commercial freight service on most of the Manchurian rail network due to military t.,63,JAPANESE NATIONALIST GOVERNMENT; PEIPING RAILWAY BUREAU; British opposition to Japanese treaty negotiations | The British Mission Chief in Tokyo requested information on Japanese intentions regarding a treaty with the; Closure of Manchurian railways | Peiping authorities suspended passenger and commercial freight service on most of the Manchurian rail network due to military t
64,COMMUNITY:64,EAST GERMAN AIR FORCE; EAST GERMAN ARMY; East German exercise with air support | First noted exercise to include air support by East German army. | MilitaryAction | 1954-08-06; East German division level exercises | Two divisions of Corps North conducted separate exercises believed to be of division level. | MilitaryAction | 1954-08-16,"Military posture, security forces, and regime stability",4,EAST GERMAN AIR FORCE; EAST GERMAN ARMY; East German exercise with air support | First noted exercise to include air support by East German army. | MilitaryAction | 1954-08-06; East German division level exercises | Two divisions of Corps North conducted separate exercises believed to be of division level. | MilitaryAction | 1954-08-16,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",This group connects 4 lower-level nodes around: EAST GERMAN AIR FORCE; EAST GERMAN ARMY; East German exercise with air support | First noted exercise to include air support by East German army. | MilitaryAction | 1954-08-06; East German division level exercises | Two divisions of Corps North conducted separate exercises believed to be of division level. | MilitaryAction | 1954-08-16.,64,EAST GERMAN AIR FORCE; EAST GERMAN ARMY; East German exercise with air support | First noted exercise to include air support by East German army. | MilitaryAction | 1954-08-06; East German division level exercises | Two divisions of Corps North conducted separate exercises believed to be of division level. | MilitaryAction | 1954-08-16
65,COMMUNITY:65,EAST GERMAN RAILWAYS; FREE GERMAN YOUTH (FDJ); Turkey declines conference invitation | Turkey declines Jordan's invitation to the Jerusalem conference on Palestine. | Communication | 1954-05-20; EAST BERLIN YOUTH RALLY,Cold War crisis monitoring and escalation,4,EAST GERMAN RAILWAYS; FREE GERMAN YOUTH (FDJ); Turkey declines conference invitation | Turkey declines Jordan's invitation to the Jerusalem conference on Palestine. | Communication | 1954-05-20; EAST BERLIN YOUTH RALLY,"{""CanonicalEntity"": 3, ""EventCluster"": 1}",This group connects 4 lower-level nodes around: EAST GERMAN RAILWAYS; FREE GERMAN YOUTH (FDJ); Turkey declines conference invitation | Turkey declines Jordan's invitation to the Jerusalem conference on Palestine. | Communication | 1954-05-20; EAST BERLIN YOUTH RALLY.,65,EAST GERMAN RAILWAYS; FREE GERMAN YOUTH (FDJ); Turkey declines conference invitation | Turkey declines Jordan's invitation to the Jerusalem conference on Palestine. | Communication | 1954-05-20; EAST BERLIN YOUTH RALLY
66,COMMUNITY:66,"CHINESE COMMUNIST 26TH AIR DIVISION; LIUCHOU; Denunciation of Nagy | Rakosi's denunciation of Nagy. | Communication | 1955-03-04; Troop Shipment to Quemoy | Shipment of approximately 13,000 Chinese Nationalist filler personnel to the Quemoy group. | MilitaryAction | March 1955","U.S. reporting, diplomacy, and intelligence assessment",4,"CHINESE COMMUNIST 26TH AIR DIVISION; LIUCHOU; Denunciation of Nagy | Rakosi's denunciation of Nagy. | Communication | 1955-03-04; Troop Shipment to Quemoy | Shipment of approximately 13,000 Chinese Nationalist filler personnel to the Quemoy group. | MilitaryAction | March 1955","{""CanonicalEntity"": 2, ""EventCluster"": 2}","This group connects 4 lower-level nodes around: CHINESE COMMUNIST 26TH AIR DIVISION; LIUCHOU; Denunciation of Nagy | Rakosi's denunciation of Nagy. | Communication | 1955-03-04; Troop Shipment to Quemoy | Shipment of approximately 13,000 Chinese Nationalist filler personnel to the Quemoy group. | MilitaryAction | March 1955.",66,"CHINESE COMMUNIST 26TH AIR DIVISION; LIUCHOU; Denunciation of Nagy | Rakosi's denunciation of Nagy. | Communication | 1955-03-04; Troop Shipment to Quemoy | Shipment of approximately 13,000 Chinese Nationalist filler personnel to the Quemoy group. | MilitaryAction | March 1955"
67,COMMUNITY:67,GOODYEAR; WINGFOOT; Troop transfer decision | Prime Minister Djuanda stated a decision had been made to transfer additional troops to Sumatra. | PolicyAction,GOODYEAR; WINGFOOT; Troop transfer decision | Prime Minister Djuanda stated a decision had,3,GOODYEAR; WINGFOOT; Troop transfer decision | Prime Minister Djuanda stated a decision had been made to transfer additional troops to Sumatra. | PolicyAction,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",This group connects 3 lower-level nodes around: GOODYEAR; WINGFOOT; Troop transfer decision | Prime Minister Djuanda stated a decision had been made to transfer additional troops to Sumatra. | PolicyAction.,67,GOODYEAR; WINGFOOT; Troop transfer decision | Prime Minister Djuanda stated a decision had been made to transfer additional troops to Sumatra. | PolicyAction
68,COMMUNITY:68,"SOVIET MILITARY ADMINISTRATION; WESTERN GERMANY; Cancellation of Orders | The USSR Council of Ministers canceled all orders and instructions on political, economic and cultural affairs in East Germany. | Polic","Soviet policy, leadership, and bloc maneuvering",3,"SOVIET MILITARY ADMINISTRATION; WESTERN GERMANY; Cancellation of Orders | The USSR Council of Ministers canceled all orders and instructions on political, economic and cultural affairs in East Germany. | Polic","{""CanonicalEntity"": 2, ""EventCluster"": 1}","This group connects 3 lower-level nodes around: SOVIET MILITARY ADMINISTRATION; WESTERN GERMANY; Cancellation of Orders | The USSR Council of Ministers canceled all orders and instructions on political, economic and cultural affairs in East Germany. | Polic.",68,"SOVIET MILITARY ADMINISTRATION; WESTERN GERMANY; Cancellation of Orders | The USSR Council of Ministers canceled all orders and instructions on political, economic and cultural affairs in East Germany. | Polic"
69,COMMUNITY:69,EAST GERMAN ALERT AND BORDER POLICE; SAXONY; THURINGIA,EAST GERMAN ALERT AND BORDER POLICE; SAXONY; THURINGIA,3,EAST GERMAN ALERT AND BORDER POLICE; SAXONY; THURINGIA,"{""CanonicalEntity"": 3}",This group connects 3 lower-level nodes around: EAST GERMAN ALERT AND BORDER POLICE; SAXONY; THURINGIA.,69,EAST GERMAN ALERT AND BORDER POLICE; SAXONY; THURINGIA
70,COMMUNITY:70,JORDANIAN ARMED FORCES; SYRIAN BORDER; TURKISH AIR FORCE,JORDANIAN ARMED FORCES; SYRIAN BORDER; TURKISH AIR FORCE,3,JORDANIAN ARMED FORCES; SYRIAN BORDER; TURKISH AIR FORCE,"{""CanonicalEntity"": 3}",This group connects 3 lower-level nodes around: JORDANIAN ARMED FORCES; SYRIAN BORDER; TURKISH AIR FORCE.,70,JORDANIAN ARMED FORCES; SYRIAN BORDER; TURKISH AIR FORCE
71,COMMUNITY:71,CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02,"Soviet policy, leadership, and bloc maneuvering",3,CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",This group connects 3 lower-level nodes around: CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02.,71,CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02
72,COMMUNITY:72,BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT,"Soviet policy, leadership, and bloc maneuvering",3,BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT,"{""CanonicalEntity"": 3}",This group connects 3 lower-level nodes around: BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT.,72,BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT
73,COMMUNITY:73,SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14,"Military posture, security forces, and regime stability",3,SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14,"{""EventCluster"": 2, ""CanonicalEntity"": 1}",This group connects 3 lower-level nodes around: SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14.,73,SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14
74,COMMUNITY:74,"BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959","Military posture, security forces, and regime stability",3,"BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959","{""CanonicalEntity"": 2, ""EventCluster"": 1}","This group connects 3 lower-level nodes around: BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959.",74,"BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959"
75,COMMUNITY:75,BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other,Cold War crisis monitoring and escalation,3,BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",This group connects 3 lower-level nodes around: BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other.,75,BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other
76,COMMUNITY:76,ADMIRAL SMOOT; MINISTER OF DEFENSE YU TA-WEI; YU TA-WEI,"Military posture, security forces, and regime stability",3,ADMIRAL SMOOT; MINISTER OF DEFENSE YU TA-WEI; YU TA-WEI,"{""CanonicalEntity"": 3}",This group connects 3 lower-level nodes around: ADMIRAL SMOOT; MINISTER OF DEFENSE YU TA-WEI; YU TA-WEI.,76,ADMIRAL SMOOT; MINISTER OF DEFENSE YU TA-WEI; YU TA-WEI
77,COMMUNITY:77,CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05,"Soviet policy, leadership, and bloc maneuvering",3,CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",This group connects 3 lower-level nodes around: CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05.,77,CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05
78,COMMUNITY:78,KONSTANTIN PETUKHOV; USSR STATE SCIENTIFIC-TECHNICAL COMMITTEE; YURY MAKSAREV,"Soviet policy, leadership, and bloc maneuvering",3,KONSTANTIN PETUKHOV; USSR STATE SCIENTIFIC-TECHNICAL COMMITTEE; YURY MAKSAREV,"{""CanonicalEntity"": 3}",This group connects 3 lower-level nodes around: KONSTANTIN PETUKHOV; USSR STATE SCIENTIFIC-TECHNICAL COMMITTEE; YURY MAKSAREV.,78,KONSTANTIN PETUKHOV; USSR STATE SCIENTIFIC-TECHNICAL COMMITTEE; YURY MAKSAREV
79,COMMUNITY:79,ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS,ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS,3,ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS,"{""CanonicalEntity"": 3}",This group connects 3 lower-level nodes around: ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS.,79,ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS
80,COMMUNITY:80,HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15,International diplomatic and security coordination,3,HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",This group connects 3 lower-level nodes around: HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15.,80,HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15
81,COMMUNITY:81,ANNAMESE; FRENCH VICE-CONSUL; ROYERE,ANNAMESE; FRENCH VICE-CONSUL; ROYERE,3,ANNAMESE; FRENCH VICE-CONSUL; ROYERE,"{""CanonicalEntity"": 3}",This group connects 3 lower-level nodes around: ANNAMESE; FRENCH VICE-CONSUL; ROYERE.,81,ANNAMESE; FRENCH VICE-CONSUL; ROYERE
82,COMMUNITY:82,COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04,"Soviet policy, leadership, and bloc maneuvering",3,COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",This group connects 3 lower-level nodes around: COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04.,82,COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04
83,COMMUNITY:83,ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH,ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH,3,ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH,"{""CanonicalEntity"": 3}",This group connects 3 lower-level nodes around: ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH.,83,ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH
84,COMMUNITY:84,FIRST FOREIGN LEGION PARACHUTE REGIMENT; SEVENTH REGIMENT; MILITARY REVOLT,"Military posture, security forces, and regime stability",3,FIRST FOREIGN LEGION PARACHUTE REGIMENT; SEVENTH REGIMENT; MILITARY REVOLT,"{""CanonicalEntity"": 3}",This group connects 3 lower-level nodes around: FIRST FOREIGN LEGION PARACHUTE REGIMENT; SEVENTH REGIMENT; MILITARY REVOLT.,84,FIRST FOREIGN LEGION PARACHUTE REGIMENT; SEVENTH REGIMENT; MILITARY REVOLT
85,COMMUNITY:85,"ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction","Military posture, security forces, and regime stability",3,"ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction","{""CanonicalEntity"": 2, ""EventCluster"": 1}","This group connects 3 lower-level nodes around: ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction.",85,"ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction"
