normalized_label,canonical_label_current,mention_count,unique_docs,unique_paragraphs,source_types,primary_type,example_mentions,example_descriptions,top_co_mentions,context_text,in_alias_dictionary
USSR,USSR,103,41,102,Country; Government,Country,USSR,"Former country, now Russia and other states; Soviet Union, involved in international relations and party congress.; The country with which the Dominican Republic desires to re-establish diplomatic relations.; Gained prestige for pro-Lumumba position; Country with which Nigeria sought to establish diplomatic relations; Accused of carrying military personnel to Pathet Lao forces.; Country involved in airlift support; Country endorsing a proposal for a conference on Laos.",LAOS; COMMUNIST CHINA; PEIPING; KHRUSHCHEV; CONGO; PATHET LAO; SOUVANNA PHOUMA; UAR; NORTH VIETNAM; CUBA; EAST GERMANY; UNITED STATES,"USSR || Country Government || LAOS COMMUNIST CHINA PEIPING KHRUSHCHEV CONGO PATHET LAO SOUVANNA PHOUMA UAR NORTH VIETNAM CUBA || Former country, now Russia and other states Soviet Union, involved in international relations and party congress. The country with which the Dominican Republic desires to re-establish diplomatic relations. Gained prestige for pro-Lumumba position Country with which Nigeria sought to establish diplomatic relations Accused of carrying military personnel to Pathet Lao forces.",False
ANGOLAN PEOPLES UNION (UPA),ANGOLAN PEOPLES UNION (UPA),2,2,2,PoliticalGroup,PoliticalGroup,Angolan Peoples' Union (UPA); Angolan People's Union (UPA),Anti-Communist nationalist group planning attacks in Angola.; Group directing terrorist actions in Angola.,PORTUGAL; USSR; CABINDA; CONGO; EAST GERMANY; LEOPOLDVILLE; MAYOR BRANDT; SOCIAL DEMOCRATIC PARTY (SPD); WEST GERMANY; CONGOLESE FACTIONS; GENERAL LUNDULA; GENERAL NGUYEN CHI THANH,ANGOLAN PEOPLES UNION (UPA) || PoliticalGroup || PORTUGAL USSR CABINDA CONGO EAST GERMANY LEOPOLDVILLE MAYOR BRANDT SOCIAL DEMOCRATIC PARTY (SPD) WEST GERMANY CONGOLESE FACTIONS || Anti-Communist nationalist group planning attacks in Angola. Group directing terrorist actions in Angola.,False
ANIBAL PORTILLO,ANIBAL PORTILLO,2,2,2,Person,Person,Anibal Portillo,Army chief of staff selected as leader of the new regime; former army chief of staff and leader of the junta,JULIO RIVERA; OSORIO; CONGO; CUBA; LEOPOLDVILLE; LUMUMBA REGIME; SINO-SOVIET BLOC; STANLEYVILLE; AMERICAN EMBASSY; EL SALVADOR; FABIO CASTILLO; FELICIANO AVELAR,ANIBAL PORTILLO || Person || JULIO RIVERA OSORIO CONGO CUBA LEOPOLDVILLE LUMUMBA REGIME SINO-SOVIET BLOC STANLEYVILLE AMERICAN EMBASSY EL SALVADOR || Army chief of staff selected as leader of the new regime former army chief of staff and leader of the junta,False
ARINOS,ARINOS,2,2,2,Person,Person,Arinos,Foreign Minister in Quadros' cabinet.; Brazilian Foreign Minister who spoke about diplomatic relations.,JANIO QUADROS; AFRICA; ASIA; COMMUNIST PARTY; CUBA; FRANCISCO CARLOS DE CASTRO NEVES; LATIN AMERICA; MARIANI; MIDDLE EAST; ODYLIA DENYS; RIO DE JANEIRO; USSR,ARINOS || Person || JANIO QUADROS AFRICA ASIA COMMUNIST PARTY CUBA FRANCISCO CARLOS DE CASTRO NEVES LATIN AMERICA MARIANI MIDDLE EAST ODYLIA DENYS || Foreign Minister in Quadros' cabinet. Brazilian Foreign Minister who spoke about diplomatic relations.,False
BALUBA TRIBESMEN,BALUBA TRIBESMEN,2,2,2,Other,Other,Baluba tribesmen,Tribal group in Congo opposing Tshombe.; Tribesmen opposing reinforcement of the UN garrison.,BELGIUM; BOUN OUM GOVERNMENT; GIZENGA DISSIDENTS; JASON SENDWE; NORTH VIETNAM; PATHET LAO; UN SECURITY COUNCIL; BAGHDAD MILITARY COURT; CONGO; ELISABETHVILLE; HAMMARSKJOLD; KAMINA AIR BASE,BALUBA TRIBESMEN || Other || BELGIUM BOUN OUM GOVERNMENT GIZENGA DISSIDENTS JASON SENDWE NORTH VIETNAM PATHET LAO UN SECURITY COUNCIL BAGHDAD MILITARY COURT CONGO ELISABETHVILLE || Tribal group in Congo opposing Tshombe. Tribesmen opposing reinforcement of the UN garrison.,False
BOLIKANGO,BOLIKANGO,2,2,2,Person,Person,Bolikango,Representative from Equateur Province; Leopoldville figure willing to work with Gizenga.,ILEO; KASAVUBU; LEOPOLDVILLE; AMBASSADOR TIMBERLAKE; CONGOLESE PARLIAMENT; GIZENGA REGIME; KALONJI; KAMITATU; TANANARIVE; TSHOMBÉ; BURMA; CHINA,BOLIKANGO || Person || ILEO KASAVUBU LEOPOLDVILLE AMBASSADOR TIMBERLAKE CONGOLESE PARLIAMENT GIZENGA REGIME KALONJI KAMITATU TANANARIVE TSHOMBÉ || Representative from Equateur Province Leopoldville figure willing to work with Gizenga.,False
BRIGADIER MAUNG MAUNG,BRIGADIER MAUNG MAUNG,2,2,2,Person,Person,Brigadier Maung Maung,Resigned from the Burmese Army.; A spokesman for the ousted officers in the Burmese army.,GENERAL NE WIN; AVERKY ARISTOV; DMITRY POLYANSKY; FROL KOZLOV; KASAVUBU; KHAMSOUK KEOLA; KHRUSHCHEV; LUMUMBA; PEIPING; SOUVANNA; BONN; BURMA,BRIGADIER MAUNG MAUNG || Person || GENERAL NE WIN AVERKY ARISTOV DMITRY POLYANSKY FROL KOZLOV KASAVUBU KHAMSOUK KEOLA KHRUSHCHEV LUMUMBA PEIPING SOUVANNA || Resigned from the Burmese Army. A spokesman for the ousted officers in the Burmese army.,False
BRITISH AMBASSADOR,BRITISH AMBASSADOR,2,2,2,Person,Person,British ambassador,The ambassador representing Britain in discussions with Kuznetsov.; Ambassador approached by Phoumi for advice.,CONGO; ELISABETHVILLE AIRPORT; HAMMARSKJOLD; KAMINA; KUZNETSOV; LEOPOLDVILLE REGIME; MATADI; NIGERIAN POLICE; PHNOM PENH; PRINCE SIHANOUK; SOVIET UNION; SWEDISH UN CONTINGENT,BRITISH AMBASSADOR || Person || CONGO ELISABETHVILLE AIRPORT HAMMARSKJOLD KAMINA KUZNETSOV LEOPOLDVILLE REGIME MATADI NIGERIAN POLICE PHNOM PENH PRINCE SIHANOUK || The ambassador representing Britain in discussions with Kuznetsov. Ambassador approached by Phoumi for advice.,False
CANTON,CANTON,2,2,2,Location,Location,Canton,A city in China where Soviet AN-12 transports arrived.; A location where Soviet AN-12s arrived.,GENERAL PHOUMI; XIENG KHOUANG PROVINCE; INTERNATIONAL CONTROL COMMISSION FOR LAOS; KING SAVANG; NORTH VIETNAM; PRINCE SIHANOUK; SOVIET UNION; THA THOM; USSR; GHANA; GUINEA; HAIPHONG,CANTON || Location || GENERAL PHOUMI XIENG KHOUANG PROVINCE INTERNATIONAL CONTROL COMMISSION FOR LAOS KING SAVANG NORTH VIETNAM PRINCE SIHANOUK SOVIET UNION THA THOM USSR GHANA || A city in China where Soviet AN-12 transports arrived. A location where Soviet AN-12s arrived.,False
CASTRO,CASTRO,2,2,2,Person,Person,Castro,"Leader of Cuba mentioned in relation to military capabilities.; Refers to Fidel Castro, associated with anti-Western regime.",COMMUNIST CHINA; CUBA; CZECH OFFICIAL; DAIREN; GUANTANAMO; HAINAN ISLAND; HARBIN; MEXICAN AMBASSADOR; PASO; SOVIETS; WATCH COMMITTEE OF THE USIB; ALGERIA,"CASTRO || Person || COMMUNIST CHINA CUBA CZECH OFFICIAL DAIREN GUANTANAMO HAINAN ISLAND HARBIN MEXICAN AMBASSADOR PASO SOVIETS || Leader of Cuba mentioned in relation to military capabilities. Refers to Fidel Castro, associated with anti-Western regime.",False
CENTRAL BANK,CENTRAL BANK,2,2,2,Organization; Other,Organization,Central Bank,"Financial institution in the Dominican Republic, whose officials have been scapegoated.; An institution mentioned in the context of nationalization.",CATHOLIC CHURCH; CIUDAD TRUJILLO; DOMINICAN REPUBLIC; GENERALISSIMO TRUJILLO; SOVIET BLOC; US ADMINISTRATION; COLONIAL SECRETARY MACLEOD; EL SALVADOR; KADU; KANU; KENYATTA; MBOYA,"CENTRAL BANK || Organization Other || CATHOLIC CHURCH CIUDAD TRUJILLO DOMINICAN REPUBLIC GENERALISSIMO TRUJILLO SOVIET BLOC US ADMINISTRATION COLONIAL SECRETARY MACLEOD EL SALVADOR KADU KANU || Financial institution in the Dominican Republic, whose officials have been scapegoated. An institution mentioned in the context of nationalization.",False
COLOMBO,COLOMBO,2,2,2,Location,Location,Colombo,Capital city of Sri Lanka; City where negotiations for the rice-rubber contract take place.,CEYLON; PEIPING; SOVIET UNION; AMERICAN EMBASSY IN TUNIS; BOURGUIBA; CZECHOSLOVAKIA; DEFENSE LOAN FUND; MASMOUDI; MOHAMED V; MRS. BANDARANAIKE; NASIR; POLAND,COLOMBO || Location || CEYLON PEIPING SOVIET UNION AMERICAN EMBASSY IN TUNIS BOURGUIBA CZECHOSLOVAKIA DEFENSE LOAN FUND MASMOUDI MOHAMED V MRS. BANDARANAIKE || Capital city of Sri Lanka City where negotiations for the rice-rubber contract take place.,False
COLONEL ANIBAL PORTILLO,COLONEL ANIBAL PORTILLO,2,2,2,Person,Person,Colonel Anibal Portillo,Army chief of staff chosen to head the new regime; Apparent initiator of the military coup in El Salvador.,ALGERIA; EL SALVADOR; DE GAULLE; DR. FABIO CASTILLO; DR. JOSE ANTONIO RODRIGUEZ PORTH; LT. COL. JULIO RIVERA; OSCAR OSORIO; CONGO; DR. RODRIGUEZ PORTH; EAST GERMANY; FRANCE; OSORIO,COLONEL ANIBAL PORTILLO || Person || ALGERIA EL SALVADOR DE GAULLE DR. FABIO CASTILLO DR. JOSE ANTONIO RODRIGUEZ PORTH LT. COL. JULIO RIVERA OSCAR OSORIO CONGO DR. RODRIGUEZ PORTH EAST GERMANY || Army chief of staff chosen to head the new regime Apparent initiator of the military coup in El Salvador.,False
COLONIAL OFFICE,COLONIAL OFFICE,2,2,2,Organization,Organization,Colonial Office,The office controlling Northern Rhodesia and Nyasaland.; The British government office responsible for colonial affairs.,MACLEOD; COMMONWEALTH RELATIONS OFFICE; DOMINION PARTY; JOSHUA NKOMO; MINISTRY OF DEFENSE; NORTHERN RHODESIA; NYASALAND; SANDYS; SOUTHERN RHODESIA; THE FEDERATION; AFRICAN NATIONAL CONGRESS (ANC); BANK OF CHINA,COLONIAL OFFICE || Organization || MACLEOD COMMONWEALTH RELATIONS OFFICE DOMINION PARTY JOSHUA NKOMO MINISTRY OF DEFENSE NORTHERN RHODESIA NYASALAND SANDYS SOUTHERN RHODESIA THE FEDERATION || The office controlling Northern Rhodesia and Nyasaland. The British government office responsible for colonial affairs.,False
CYPRUS,CYPRUS,2,2,2,Country; Location,Country,Cyprus,Country facing economic and political problems.; Location over which the Venus probe transferred from earth orbit.,AFONSO ARINOS; JANIO QUADROS; MARIANI; MONGOLIA; REPUBLIC OF MALI; US EMBASSY IN NICOSIA; COMMUNIST CHINA; CUBA; IRAQ; LAOS; MOROCCO; NORTH VIETNAM,CYPRUS || Country Location || AFONSO ARINOS JANIO QUADROS MARIANI MONGOLIA REPUBLIC OF MALI US EMBASSY IN NICOSIA COMMUNIST CHINA CUBA IRAQ LAOS || Country facing economic and political problems. Location over which the Venus probe transferred from earth orbit.,False
CZECH,CZECH,2,2,2,Country,Country,Czech,"Country with a trade mission in Santiago, Chile.; Refers to Czechoslovakia in the context of aid and airline services.",USSR; CENTRAL INTELLIGENCE BULLETIN; CHILE; HUNGARY; UNITED STATES; WEST GERMANY; ALBANIA; COMMUNIST CHINA; CZECHOSLOVAK AIRLINES; KHARTOUM; PEIPING; STANLEYVILLE,"CZECH || Country || USSR CENTRAL INTELLIGENCE BULLETIN CHILE HUNGARY UNITED STATES WEST GERMANY ALBANIA COMMUNIST CHINA CZECHOSLOVAK AIRLINES KHARTOUM || Country with a trade mission in Santiago, Chile. Refers to Czechoslovakia in the context of aid and airline services.",False
DAIREN,DAIREN,2,2,2,Location,Location,Dairen,Location where anti-Communist signs were reported.; A location where opposition posters were reported.,HAINAN ISLAND; CASTRO; COMMUNIST CHINA; CUBA; CZECH OFFICIAL; GUANTANAMO; HARBIN; MEXICAN AMBASSADOR; PASO; SOVIETS; WATCH COMMITTEE OF THE USIB; CHINA,DAIREN || Location || HAINAN ISLAND CASTRO COMMUNIST CHINA CUBA CZECH OFFICIAL GUANTANAMO HARBIN MEXICAN AMBASSADOR PASO SOVIETS || Location where anti-Communist signs were reported. A location where opposition posters were reported.,False
DEMOCRATIC PARTY,DEMOCRATIC PARTY,2,2,2,PoliticalGroup,PoliticalGroup,Democratic Party; Democratic party,"Ruling party in South Korea.; The party of the ousted regime, abolished by the CNU.",AFRO-ASIAN BLOC; BELGIUM; CHANG MYON; FRANCE; KASAVUBU; LUMUMBA; REPUBLIC OF THE CONGO; TSHOMBE; UN; ALICAN; ANGOLA; BAYAR,"DEMOCRATIC PARTY || PoliticalGroup || AFRO-ASIAN BLOC BELGIUM CHANG MYON FRANCE KASAVUBU LUMUMBA REPUBLIC OF THE CONGO TSHOMBE UN ALICAN || Ruling party in South Korea. The party of the ousted regime, abolished by the CNU.",False
ELBRICK,ELBRICK,2,2,2,Person,Person,Elbrick,US Ambassador involved in discussions with Mathias; Ambassador in Lisbon who received a statement from Couve de Murville.,MONIZ; PORTUGAL; SALAZAR; BELGIUM; HAMMARSKJOLD; LEFEVRE; MATHIAS; SPAAK; TAIEB SABHANI; TSHOMBÉ; ALGERIA; COUVE DE MURVILLE,ELBRICK || Person || MONIZ PORTUGAL SALAZAR BELGIUM HAMMARSKJOLD LEFEVRE MATHIAS SPAAK TAIEB SABHANI TSHOMBÉ || US Ambassador involved in discussions with Mathias Ambassador in Lisbon who received a statement from Couve de Murville.,False
ENVER HOXHA,ENVER HOXHA,2,2,2,Person,Person,Enver Hoxha,Leader of the Albanian Workers' (Communist) party.; Party leader of Albania who addressed the party congress.,ALBANIA; ALBANIAN WORKERS (COMMUNIST) PARTY; CHINA; EAST GERMANY; PEIPING; SOVIET BLOC; TIRANA; TUNISIA; USSR; ALBANIAN PARTY CONGRESS; ANGOLA; CASTRO REGIME,ENVER HOXHA || Person || ALBANIA ALBANIAN WORKERS (COMMUNIST) PARTY CHINA EAST GERMANY PEIPING SOVIET BLOC TIRANA TUNISIA USSR ALBANIAN PARTY CONGRESS || Leader of the Albanian Workers' (Communist) party. Party leader of Albania who addressed the party congress.,False
FANFANI,FANFANI,2,2,2,Person,Person,Fanfani,Political figure involved in the cabinet discussions; Italian leader with possible shared concerns with the Dutch,ALDO MORO; CHRISTIAN DEMOCRATIC PARTY; COMMUNISTS; DEPARTMENT OF STATE; GIOVANNI MALAGODI; LIBERALS; NENNI; SOCIALIST PARTY; TREASURY DEPARTMENT; ADENAUER; BELGIUM; COMMON MARKET,FANFANI || Person || ALDO MORO CHRISTIAN DEMOCRATIC PARTY COMMUNISTS DEPARTMENT OF STATE GIOVANNI MALAGODI LIBERALS NENNI SOCIALIST PARTY TREASURY DEPARTMENT ADENAUER || Political figure involved in the cabinet discussions Italian leader with possible shared concerns with the Dutch,False
FRENCH AMBASSADOR FALAIZE,FRENCH AMBASSADOR FALAIZE,2,2,2,Person,Person,French Ambassador Falaize,The French Ambassador who received the notice from the Boun Oum government.; French ambassador involved in the negotiations.,LAOS; 1954 GENEVA AGREEMENT; BOUN OUM GOVERNMENT; FRENCH TROOPS; KONG LE - PATHET LAO FORCES; MUONG KASS; PHOU KHOUN; SEATO; SENO MILITARY BASE; VIENTIANE; BOUN OUM; FRENCH,FRENCH AMBASSADOR FALAIZE || Person || LAOS 1954 GENEVA AGREEMENT BOUN OUM GOVERNMENT FRENCH TROOPS KONG LE - PATHET LAO FORCES MUONG KASS PHOU KHOUN SEATO SENO MILITARY BASE VIENTIANE || The French Ambassador who received the notice from the Boun Oum government. French ambassador involved in the negotiations.,False
FRENCH EMBASSY,FRENCH EMBASSY,2,2,2,Organization,Organization,French Embassy,Embassy involved in inquiries about Chinese wheat contracts.; Embassy of France located in Rabat,BOUN OUM GOVERNMENT; KING SAVANG; LAOS; PATHET LAO; PEIPING; PEOPLES DAILY; SOUVANNA PHOUMA; US EMBASSY IN MOSCOW; MOROCCO; MUNOZ GRANDES; PARIS; ROYAL MOROCCAN ARMY,FRENCH EMBASSY || Organization || BOUN OUM GOVERNMENT KING SAVANG LAOS PATHET LAO PEIPING PEOPLES DAILY SOUVANNA PHOUMA US EMBASSY IN MOSCOW MOROCCO MUNOZ GRANDES || Embassy involved in inquiries about Chinese wheat contracts. Embassy of France located in Rabat,False
GENERAL ALAVI-MOQADAM,GENERAL ALAVI-MOQADAM,2,2,2,Person,Person,General Alavi-Moqadam,Minister of the interior in Iran; Former minister responsible for rigging parliamentary elections under the Shah,IRAN; KING SAUD; NASIR; SHARIF-EMAMI; UAR; USSR; ARDESHIR ZAHEDI; GENERAL AMIR-AZIZI; GENERAL TIMUR BAKHTIAR; HOSSEIN QODS-NAKHAI; SAVAK; SHAH,GENERAL ALAVI-MOQADAM || Person || IRAN KING SAUD NASIR SHARIF-EMAMI UAR USSR ARDESHIR ZAHEDI GENERAL AMIR-AZIZI GENERAL TIMUR BAKHTIAR HOSSEIN QODS-NAKHAI || Minister of the interior in Iran Former minister responsible for rigging parliamentary elections under the Shah,False
GENERAL OUANE,GENERAL OUANE,2,2,2,Person,Person,General Ouane,General Staff Chief reporting on the military situation in Laos.; Chief of the general staff of the Laotian army.,LUANG PRABANG; COLONEL KHAMOUANE; GENERAL MCKEOWN; HAMMARSKJOLD; ILEO GOVERNMENT; MAKKI ABBAS; MATADI; MOBUTU; MUONG SAI; PATHET LAO; PHONG SALY PROVINCE; REPUBLIC OF THE CONGO,GENERAL OUANE || Person || LUANG PRABANG COLONEL KHAMOUANE GENERAL MCKEOWN HAMMARSKJOLD ILEO GOVERNMENT MAKKI ABBAS MATADI MOBUTU MUONG SAI PATHET LAO || General Staff Chief reporting on the military situation in Laos. Chief of the general staff of the Laotian army.,False
GENERALISSIMO TRUJILLO,GENERALISSIMO TRUJILLO,2,2,2,Person,Person,Generalissimo Trujillo,"Leader of the Dominican Republic who received advice from anti-US aides.; Dictator of the Dominican Republic, involved in financial manipulations and control over the economy.",DOMINICAN REPUBLIC; FRANCE; NIGERIA; PRIME MINISTER BALEWA; SOUTH AFRICA; UNITED KINGDOM; UNITED STATES; USSR; CATHOLIC CHURCH; CENTRAL BANK; CIUDAD TRUJILLO; SOVIET BLOC,"GENERALISSIMO TRUJILLO || Person || DOMINICAN REPUBLIC FRANCE NIGERIA PRIME MINISTER BALEWA SOUTH AFRICA UNITED KINGDOM UNITED STATES USSR CATHOLIC CHURCH CENTRAL BANK || Leader of the Dominican Republic who received advice from anti-US aides. Dictator of the Dominican Republic, involved in financial manipulations and control over the economy.",False
GENEVA,GENEVA,2,2,2,Location,Location,Geneva,Location of the nuclear test ban conference; Proposed location for the international conference on Laos.,CUBA; GROMYKO; ORIENTE PROVINCE; USSR; WINIEWICZ; KONG LE - PATHET LAO; LAOS; MUNONGO; REPUBLIC OF THE CONGO; SIHANOUK; TSHOMBÉ,GENEVA || Location || CUBA GROMYKO ORIENTE PROVINCE USSR WINIEWICZ KONG LE - PATHET LAO LAOS MUNONGO REPUBLIC OF THE CONGO SIHANOUK || Location of the nuclear test ban conference Proposed location for the international conference on Laos.,False
GENNADY VORONOV,GENNADY VORONOV,2,2,2,Person,Person,Gennady Voronov,New candidate member of the USSR party presidium.; New candidate member elected to the party presidium.,CHILE; COMMUNIST CHINA; CUBA; DE GAULLE; EL SALVADOR; FERHAT ABBAS; MIKHAIL SUSLOV; NIKOLAY PODGORNY; POLAND; USSR; VIKTOR GRISHIN; AVERKY ARISTOV,GENNADY VORONOV || Person || CHILE COMMUNIST CHINA CUBA DE GAULLE EL SALVADOR FERHAT ABBAS MIKHAIL SUSLOV NIKOLAY PODGORNY POLAND USSR || New candidate member of the USSR party presidium. New candidate member elected to the party presidium.,False
GIZENGA DISSIDENTS,GIZENGA DISSIDENTS,2,2,2,PoliticalGroup,PoliticalGroup,Gizenga dissidents,"Group in Congo receiving aid.; A group that has assumed control in Kivu Province, Congo.",ANICET KASHAMURA; BRITAIN; ITALY; KUZNETSOV; LAOS; LUMUMBA; SOMALI ARMY; SOMALI REPUBLIC; SOUVANNA PHOUMA; UAR; UN COMMAND; BALUBA TRIBESMEN,"GIZENGA DISSIDENTS || PoliticalGroup || ANICET KASHAMURA BRITAIN ITALY KUZNETSOV LAOS LUMUMBA SOMALI ARMY SOMALI REPUBLIC SOUVANNA PHOUMA UAR || Group in Congo receiving aid. A group that has assumed control in Kivu Province, Congo.",False
GIZENGAS STANLEYVILLE REGIME,GIZENGAS STANLEYVILLE REGIME,2,2,2,Government,Government,Gizenga's Stanleyville regime,A regime in Stanleyville that has lost momentum due to supply issues.; The legal government of the Congo as referred to by Khrushchev.,LAOS; INTERNATIONAL CONTROL COMMISSION; KING MAHENDRA; NEHRU; NEPALI CONGRESS; SOUVANNA PHOUMA CABINET; SUDAN; UAR TROOPS; CONGO; KHRUSHCHEV; PRINCE SIHANOUK; SOUVANNA PHOUMA,GIZENGAS STANLEYVILLE REGIME || Government || LAOS INTERNATIONAL CONTROL COMMISSION KING MAHENDRA NEHRU NEPALI CONGRESS SOUVANNA PHOUMA CABINET SUDAN UAR TROOPS CONGO KHRUSHCHEV || A regime in Stanleyville that has lost momentum due to supply issues. The legal government of the Congo as referred to by Khrushchev.,False
GOVERNMENT,GOVERNMENT,2,2,2,Government,Government,Government; government,The government forces involved in the conflict.; refers to the governing body warning violators about reforms,ANTIGOVERNMENT; KONG LE/PATHET LAO FORCES; MUONG KASSY; PHOU KHOUN; THA THOM AIRSTRIP; VANG VIENG; XIENG KHOUANG PROVINCE; BOGOTA; COLOMBIA; NATO; UNITED STATES AIR FORCE; UNITED STATES ARMY,GOVERNMENT || Government || ANTIGOVERNMENT KONG LE/PATHET LAO FORCES MUONG KASSY PHOU KHOUN THA THOM AIRSTRIP VANG VIENG XIENG KHOUANG PROVINCE BOGOTA COLOMBIA NATO || The government forces involved in the conflict. refers to the governing body warning violators about reforms,False
ISRAEL,ISRAEL,2,2,2,Country,Country,Israel,A country mentioned as a tool of imperialism in Africa.; Potential associate in negotiations with the EEC.,EAST GERMANY; EL SALVADOR; MILITARY-CIVILIAN JUNTA; PRESIDENT LEMUS; PRESIDENT NASIR; UAR NATIONAL ASSEMBLY; WEST GERMANY; AFRICA; ATHENS; AUSTRIA; COMMON MARKET; EEC,ISRAEL || Country || EAST GERMANY EL SALVADOR MILITARY-CIVILIAN JUNTA PRESIDENT LEMUS PRESIDENT NASIR UAR NATIONAL ASSEMBLY WEST GERMANY AFRICA ATHENS AUSTRIA || A country mentioned as a tool of imperialism in Africa. Potential associate in negotiations with the EEC.,False
JEAN BOLIKANGO,JEAN BOLIKANGO,2,2,2,Person,Person,Jean Bolikango,Leader of the Bangala tribe and member of Ileo's shadow cabinet.; Ileo's vice premier,ANICET KASHAMURA; BUKAVU; CAIRO; ETHIOPIA; KASAVUBU; KIMBA; KIVU PROVINCE; SOMALI ARMY; TSHOMBÉ; UAR; ELISABETHVILLE; GIZENGA,JEAN BOLIKANGO || Person || ANICET KASHAMURA BUKAVU CAIRO ETHIOPIA KASAVUBU KIMBA KIVU PROVINCE SOMALI ARMY TSHOMBÉ UAR || Leader of the Bangala tribe and member of Ileo's shadow cabinet. Ileo's vice premier,False
JEAN MONNET,JEAN MONNET,2,2,2,Person,Person,Jean Monnet,Federalist who has influenced views on European integration.; Pro-integration leader advocating for confederation,ADENAUER; DE GAULLE; ARINOS; BRAZIL; CZECHOSLOVAKIA; DUTCH; EEC; JANIO QUADROS; POLAND; BELGIUM; COMMON MARKET; FANFANI,JEAN MONNET || Person || ADENAUER DE GAULLE ARINOS BRAZIL CZECHOSLOVAKIA DUTCH EEC JANIO QUADROS POLAND BELGIUM || Federalist who has influenced views on European integration. Pro-integration leader advocating for confederation,False
JOSEPH ILEO,JOSEPH ILEO,2,2,2,Person,Person,Joseph Ileo,Congolese Premier-designate.; Leader of the government formed in Leopoldville.,LUMUMBA; UN; ALBERT DELVAUX; AMERICAN CONSUL; BALUBA; BELGIAN ARMY; BELGIAN TRUST TERRITORY OF RUANDA; GHANAIAN UN TROOPS; KIVU PROVINCE; LUMUMBA COMMAND; NIGERIAN TROOPS; SOVIET UNION,JOSEPH ILEO || Person || LUMUMBA UN ALBERT DELVAUX AMERICAN CONSUL BALUBA BELGIAN ARMY BELGIAN TRUST TERRITORY OF RUANDA GHANAIAN UN TROOPS KIVU PROVINCE LUMUMBA COMMAND || Congolese Premier-designate. Leader of the government formed in Leopoldville.,False
JULIO RIVERA,JULIO RIVERA,2,2,2,Person,Person,Julio Rivera,Commandant of the general staff school; Lt. Col. and commandant of the military school,ANIBAL PORTILLO; OSORIO; CONGO; CUBA; LEOPOLDVILLE; LUMUMBA REGIME; SINO-SOVIET BLOC; STANLEYVILLE; AMERICAN EMBASSY; EL SALVADOR; FABIO CASTILLO; FELICIANO AVELAR,JULIO RIVERA || Person || ANIBAL PORTILLO OSORIO CONGO CUBA LEOPOLDVILLE LUMUMBA REGIME SINO-SOVIET BLOC STANLEYVILLE AMERICAN EMBASSY EL SALVADOR || Commandant of the general staff school Lt. Col. and commandant of the military school,False
KABUL,KABUL,2,2,2,Location,Location,Kabul,Capital city of Afghanistan; Capital city of Afghanistan.,UNITED STATES; AFGHANISTAN; PAKISTAN; PUSHTOONISTAN; RAWALPINDI; USSR; AFGHAN ARMY UNIFORM FACTORY; ATOMIC ENERGY COMMISSION; BAJAUR REGION; DEPARTMENT OF DEFENSE; DEPARTMENT OF JUSTICE; DEPARTMENT OF STATE,KABUL || Location || UNITED STATES AFGHANISTAN PAKISTAN PUSHTOONISTAN RAWALPINDI USSR AFGHAN ARMY UNIFORM FACTORY ATOMIC ENERGY COMMISSION BAJAUR REGION DEPARTMENT OF DEFENSE || Capital city of Afghanistan Capital city of Afghanistan.,False
KAMCHATKA PENINSULA,KAMCHATKA PENINSULA,2,2,2,Location,Location,Kamchatka Peninsula,Intended impact location for the test ICBM.; The location where the ICBM test vehicle impacted.,KHAMSOUK KEOLA; LAOS; PATHET LAO; QUINIM PHOLSENA; SOUVANNA PHOUMA; TIAO SISOUMANG; TYURA TAM MISSILE TEST RANGE; CASTRO REGIME; CUBAN REVOLUTIONARY COUNCIL; FROL KOZLOV; PETROPAVLOVSK; TADZHIKISTAN,KAMCHATKA PENINSULA || Location || KHAMSOUK KEOLA LAOS PATHET LAO QUINIM PHOLSENA SOUVANNA PHOUMA TIAO SISOUMANG TYURA TAM MISSILE TEST RANGE CASTRO REGIME CUBAN REVOLUTIONARY COUNCIL FROL KOZLOV || Intended impact location for the test ICBM. The location where the ICBM test vehicle impacted.,False
KATANGA PROVINCE,KATANGA PROVINCE,2,2,2,Location,Location,Katanga Province,Region in the Congo where military actions are occurring; Province in Congo where the situation is critical.,CONGO; BELGIUM; BOMBOKO; EQUATEUR PROVINCE; FRANCE; GIZENGA; KASAVUBU; KIVU PROVINCES; LAOS; MOBUTU; NATIONAL FRONT; ORIENTALE PROVINCE,KATANGA PROVINCE || Location || CONGO BELGIUM BOMBOKO EQUATEUR PROVINCE FRANCE GIZENGA KASAVUBU KIVU PROVINCES LAOS MOBUTU || Region in the Congo where military actions are occurring Province in Congo where the situation is critical.,False
