original_normalized_label,canonical_label,canonical_key,method,confidence,mention_count,doc_count,entity_type,surface_forms,sample_context
FRENCH COUNCIL OF MINISTERS,FRENCH COUNCIL OF MINISTERS (HENDERSON ZAHEDI IRAN),CANONICAL_ENTITY:FRENCH_COUNCIL_OF_MINISTERS_HENDERSON_ZAHEDI_IRAN,a3_single_cluster_self,1.0,1,1,Organization,French Council of Ministers,Government body expected to approve reforms for Morocco.
FRENCH COUNSELOR,FRENCH COUNSELOR (COUNTERCOUP COUP ABRAMOV),CANONICAL_ENTITY:FRENCH_COUNSELOR_COUNTERCOUP_COUP_ABRAMOV,a3_single_cluster_self,1.0,1,1,Person,French counselor,Counselor who received information from Abramov
FRENCH DEFENSE MINISTER,FRENCH DEFENSE MINISTER (PENN NOUTH MAXWELL),CANONICAL_ENTITY:FRENCH_DEFENSE_MINISTER_PENN_NOUTH_MAXWELL,a3_single_cluster_self,1.0,1,1,Person,French defense minister,Official involved in tripartite defense agreement
FRENCH DEFENSE MINISTER BIDAULT,FRENCH DEFENSE MINISTER BIDAULT (GERMANY SWEDEN NORWAY),CANONICAL_ENTITY:FRENCH_DEFENSE_MINISTER_BIDAULT_GERMANY_SWEDEN_NORWAY,a3_single_cluster_self,1.0,1,1,Person,French Defense Minister Bidault,French Defense Minister who hints at resignation over military budget.
FRENCH DEFENSE MINISTER BOURGES MAUNOURY,FRENCH DEFENSE MINISTER BOURGES MAUNOURY (STRIP GOHAR BUNCHEZ),CANONICAL_ENTITY:FRENCH_DEFENSE_MINISTER_BOURGES_MAUNOURY_STRIP_GOHAR_BUNCHEZ,a3_single_cluster_self,1.0,1,1,Person,French defense minister Bourges-Maunoury,French official discussing air cover for Israel
FRENCH DELEGATE,FRENCH DELEGATE (RUMANIA CZECHOSLOVAKIA POLAND),CANONICAL_ENTITY:FRENCH_DELEGATE_RUMANIA_CZECHOSLOVAKIA_POLAND,a3_single_cluster_self,1.0,1,1,Person,French delegate,Representative of France in discussions regarding treaties.
FRENCH DELEGATES,FRENCH DELEGATES (ROMANIA POLAND JESSUP),CANONICAL_ENTITY:FRENCH_DELEGATES_ROMANIA_POLAND_JESSUP,a3_single_cluster_self,1.0,1,1,PoliticalGroup,French delegates,Group that hinted at a possible new formula on the German demilitarization item.
FRENCH DELEGATION AT GENEVA,FRENCH DELEGATION AT GENEVA (MALCOLM KARENS VOLUNTEER),CANONICAL_ENTITY:FRENCH_DELEGATION_AT_GENEVA_MALCOLM_KARENS_VOLUNTEER,a3_single_cluster_self,1.0,1,1,Organization,French delegation at Geneva,Delegation representing France at the Geneva conference
FRENCH DEPUTY HIGH COMMISSIONER,FRENCH DEPUTY HIGH COMMISSIONER (CZECHOSLOVAKIA BULGARIA HELSINKI),CANONICAL_ENTITY:FRENCH_DEPUTY_HIGH_COMMISSIONER_CZECHOSLOVAKIA_BULGARIA_HELSINKI,a3_single_cluster_self,1.0,1,1,Person,French Deputy High Commissioner,Official who commented on the threat to EDC ratification.
FRENCH DEUXIEME BUREAU,FRENCH DEUXIEME BUREAU (SAVANNI XUYEN UNU),CANONICAL_ENTITY:FRENCH_DEUXIEME_BUREAUSAVANNI_XUYEN_UNU,a3_single_cluster_self,1.0,1,1,Organization,French Deuxieme Bureau,French military intelligence agency.
FRENCH ECONOMIC MISSION,FRENCH ECONOMIC MISSION (PINKERTON EN LAI),CANONICAL_ENTITY:FRENCH_ECONOMIC_MISSION_PINKERTON_EN_LAI,a3_single_cluster_self,1.0,1,1,Organization,French Economic Mission,Mission planning to visit Communist China for economic discussions.
FRENCH EMBASSY IN RABAT,FRENCH EMBASSY IN RABAT (HARMONY KONEV SYRIA),CANONICAL_ENTITY:FRENCH_EMBASSY_IN_RABAT_HARMONY_KONEV_SYRIA,a3_single_cluster_self,1.0,1,1,Organization,French Embassy in Rabat,Embassy concerned about potential conflict in Morocco.
FRENCH EQUATORIAL AFRICA,FRENCH EQUATORIAL AFRICA (KANZA ANICET THOMAS),CANONICAL_ENTITY:FRENCH_EQUATORIAL_AFRICA_KANZA_ANICET_THOMAS,a3_single_cluster_self,1.0,1,1,Location,French Equatorial Africa,Region mentioned in relation to smuggling arms.
FRENCH FINANCE MINISTER FAURE,FRENCH FINANCE MINISTER FAURE (DILLON BAO YUGOSLAVIA),CANONICAL_ENTITY:FRENCH_FINANCE_MINISTER_FAURE_DILLON_BAO_YUGOSLAVIA,a3_single_cluster_self,1.0,1,1,Person,French finance minister Faure,French minister favoring partition of Indochina
FRENCH FINANCE MINISTER PETSCHE,FRENCH FINANCE MINISTER PETSCHE (US IRAQ NATO),CANONICAL_ENTITY:FRENCH_FINANCE_MINISTER_PETSCHE_US_IRAQ_NATO,a3_single_cluster_self,1.0,1,1,Person,French Finance Minister Petsche,The French Finance Minister who prepared the note to the US Government.
FRENCH FINANCE MINISTRY,FRENCH FINANCE MINISTRY (CZECHOSLOVAKIA YUGOSLAVIA SCHUMAN),CANONICAL_ENTITY:FRENCH_FINANCE_MINISTRY_CZECHOSLOVAKIA_YUGOSLAVIA_SCHUMAN,a3_single_cluster_self,1.0,1,1,Government,French Finance Ministry,Decided not to consider devaluation of the franc at this time.
FRENCH FIRM,FRENCH FIRM (AFGHANISTAN MINING ADENAUER),CANONICAL_ENTITY:FRENCH_FIRM_AFGHANISTAN_MINING_ADENAUER,a3_single_cluster_self,1.0,1,1,Organization,French firm,A French company awarded a contract to drill for oil in Afghanistan.
FRENCH FLEET,FRENCH FLEET (CHONG YOL KWON),CANONICAL_ENTITY:FRENCH_FLEET_CHONG_YOL_KWON,a3_single_cluster_self,1.0,1,1,Military,French Fleet,Naval force of France
FRENCH FOREIGN LEGION,FRENCH FOREIGN LEGION (DIEN PHU NAVARRE),CANONICAL_ENTITY:FRENCH_FOREIGN_LEGION_DIEN_PHUNAVARRE,a3_single_cluster_self,1.0,1,1,Military,French Foreign Legion,Military unit mentioned in relation to Germans in Indochina.
FRENCH FOREIGN MINISTER PINAY,FRENCH FOREIGN MINISTER PINAY (XUYEN BAO TOKYO),CANONICAL_ENTITY:FRENCH_FOREIGN_MINISTER_PINAY_XUYEN_BAO_TOKYO,a3_single_cluster_self,1.0,1,1,Person,French foreign minister Pinay,French foreign minister involved in treaty discussions.
FRENCH FRANC ZONE,FRENCH FRANC ZONE (WINZER CONAKRY NEHRU),CANONICAL_ENTITY:FRENCH_FRANC_ZONE_WINZER_CONAKRY_NEHRU,a3_single_cluster_self,1.0,1,1,Other,French franc zone,A monetary zone that Guinea has decided to leave.
FRENCH GENERAL LABOR CONFEDERATION,FRENCH GENERAL LABOR CONFEDERATION (KISS KAROLY JANOS),CANONICAL_ENTITY:FRENCH_GENERAL_LABOR_CONFEDERATION_KISS_KAROLY_JANOS,a3_single_cluster_self,1.0,1,1,Organization,French General Labor Confederation,A labor organization in France dominated by Communists.
FRENCH HEADQUARTERS,FRENCH HEADQUARTERS (PRABANG MEKONG LUANG),CANONICAL_ENTITY:FRENCH_HEADQUARTERS_PRABANG_MEKONG_LUANG,a3_single_cluster_self,1.0,1,1,Organization,French headquarters,Military command center for French forces in Saigon.
FRENCH HEADQUARTERS IN HANOI,FRENCH HEADQUARTERS IN HANOI (COCOM POLAND CASTRIES),CANONICAL_ENTITY:FRENCH_HEADQUARTERS_IN_HANOI_COCOM_POLAND_CASTRIES,a3_single_cluster_self,1.0,1,1,Organization,French headquarters in Hanoi,French military command reporting on operations in Dien Bien Phu.
FRENCH HEADQUARTERS IN INDOCHINA,FRENCH HEADQUARTERS IN INDOCHINA (REGENCY MOHANNA BROTHERHOOD),CANONICAL_ENTITY:FRENCH_HEADQUARTERS_IN_INDOCHINA_REGENCY_MOHANNA_BROTHERHOOD,a3_single_cluster_self,1.0,1,1,Organization,French headquarters in Indochina,French military command in Indochina
FRENCH HIGH COMMISSARIAT,FRENCH HIGH COMMISSARIAT (SOK POM LANGSON),CANONICAL_ENTITY:FRENCH_HIGH_COMMISSARIAT_SOK_POM_LANGSON,a3_single_cluster_self,1.0,1,1,Organization,French High Commissariat,French governing body in Saigon.
FRENCH HIGH COMMISSARIAT IN INDOCHINA,FRENCH HIGH COMMISSARIAT IN INDOCHINA (PHILIPPINE ROMULO SAIGON),CANONICAL_ENTITY:FRENCH_HIGH_COMMISSARIAT_IN_INDOCHINA_PHILIPPINE_ROMULO_SAIGON,a3_single_cluster_self,1.0,1,1,Organization,French High Commissariat in Indochina,The French administrative body in Indochina.
FRENCH HIGH COMMISSION,FRENCH HIGH COMMISSION (CONCERNS BUSINESS MERCHANTS),CANONICAL_ENTITY:FRENCH_HIGH_COMMISSION_CONCERNS_BUSINESS_MERCHANTS,a3_single_cluster_self,1.0,1,1,Government,French High Commission,French governmental body involved in Indochina.
FRENCH HIGH COMMISSIONER IN TUNIS,FRENCH HIGH COMMISSIONER IN TUNIS (TUNISIA MAKARIOS GREECE),CANONICAL_ENTITY:FRENCH_HIGH_COMMISSIONER_IN_TUNIS_TUNISIA_MAKARIOS_GREECE,a3_single_cluster_self,1.0,1,1,Person,French high commissioner in Tunis,French official in charge of Tunisia.
FRENCH HIGH COMMISSIONER LETOURNEAU,FRENCH HIGH COMMISSIONER LETOURNEAU (BAO FORMOSA DAI),CANONICAL_ENTITY:FRENCH_HIGH_COMMISSIONER_LETOURNEAU_BAO_FORMOSA_DAI,a3_single_cluster_self,1.0,1,1,Person,French High Commissioner Letourneau,French official who believes arrangements can be made for an observer mission from Korea.
FRENCH HIGH COMMISSIONERS,FRENCH HIGH COMMISSIONERS (AFSHARTUS KASHANI ROME),CANONICAL_ENTITY:FRENCH_HIGH_COMMISSIONERS_AFSHARTUS_KASHANI_ROME,a3_single_cluster_self,1.0,1,1,Organization,French high commissioners,Recommend blocking Soviet efforts regarding the Allied Control Council.
FRENCH HIGH REPRESENTATIVE,FRENCH HIGH REPRESENTATIVE (STRIP GAZA YOST),CANONICAL_ENTITY:FRENCH_HIGH_REPRESENTATIVE_STRIP_GAZA_YOST,a3_single_cluster_self,1.0,1,1,Person,French High Representative,Official representing France in Vientiane.
FRENCH INDOCHINA,FRENCH INDOCHINA (ITALY DILLON BAO),CANONICAL_ENTITY:FRENCH_INDOCHINA_ITALY_DILLON_BAO,a3_single_cluster_self,1.0,1,1,Location,French Indochina,Region in Southeast Asia under French colonial rule
FRENCH INDUSTRIAL FIRMS,FRENCH INDUSTRIAL FIRMS (ROCHERAU TENG EN),CANONICAL_ENTITY:FRENCH_INDUSTRIAL_FIRMS_ROCHERAU_TENG_EN,a3_single_cluster_self,1.0,1,1,Organization,French industrial firms,Organizations that may be contracted for construction projects in China.
FRENCH INFORMATION SERVICE,FRENCH INFORMATION SERVICE (ALGERIA TREASURY GAULLE),CANONICAL_ENTITY:FRENCH_INFORMATION_SERVICE_ALGERIA_TREASURY_GAULLE,a3_single_cluster_self,1.0,1,1,Organization,French Information Service,The agency responsible for disseminating information in France.
FRENCH INTELLIGENCE HEADQUARTERS,FRENCH INTELLIGENCE HEADQUARTERS (MINH BAO MAO),CANONICAL_ENTITY:FRENCH_INTELLIGENCE_HEADQUARTERS_MINH_BAO_MAO,a3_single_cluster_self,1.0,1,1,Organization,French intelligence headquarters,Provided military build-up figures regarding the Viet Minh.
FRENCH INTERESTS,FRENCH INTERESTS (PORTUGAL MOZAMBIQUE LISBON),CANONICAL_ENTITY:FRENCH_INTERESTS_PORTUGAL_MOZAMBIQUE_LISBON,a3_single_cluster_self,1.0,1,1,Other,French interests,Refers to the interests of France in Africa.
FRENCH ISRAELI AGREEMENT,FRENCH ISRAELI AGREEMENT (TIRANA ALBANIA USSR),CANONICAL_ENTITY:FRENCH_ISRAELI_AGREEMENT_TIRANA_ALBANIA_USSR,a3_single_cluster_self,1.0,1,1,Document,French-Israeli agreement,Formal agreement related to nuclear collaboration.
FRENCH MEDITERRANEAN FLEET,FRENCH MEDITERRANEAN FLEET (KHOUANG XIENG PHNOM),CANONICAL_ENTITY:FRENCH_MEDITERRANEAN_FLEET_KHOUANG_XIENG_PHNOM,a3_single_cluster_self,1.0,1,1,Military,French Mediterranean fleet,Military units that appeared off Algiers.
FRENCH MILITARY BASE AT SENO,FRENCH MILITARY BASE AT SENO (SOUPHANNOUVONG USSR PHOUMA),CANONICAL_ENTITY:FRENCH_MILITARY_BASE_AT_SENO_SOUPHANNOUVONG_USSR_PHOUMA,a3_single_cluster_self,1.0,1,1,Military,French military base at Seno,A military base in Laos that may close due to negotiations.
FRENCH MILITARY COMMANDER,FRENCH MILITARY COMMANDER (CONTROLLER MOROCCANS POPULATION),CANONICAL_ENTITY:FRENCH_MILITARY_COMMANDER_CONTROLLER_MOROCCANS_POPULATION,a3_single_cluster_self,1.0,1,1,Person,French military commander,Military commander in the area favoring strong military action
FRENCH MILITARY ESTABLISHMENT,FRENCH MILITARY ESTABLISHMENT (LUCERO REINHARDT NUFER),CANONICAL_ENTITY:FRENCH_MILITARY_ESTABLISHMENT_LUCERO_REINHARDT_NUFER,a3_single_cluster_self,1.0,1,1,Military,French military establishment,French military forces in Vietnam
FRENCH MILITARY FORCES,FRENCH MILITARY FORCES (SPROUSE BENELUX MALLORY),CANONICAL_ENTITY:FRENCH_MILITARY_FORCES_SPROUSE_BENELUX_MALLORY,a3_single_cluster_self,1.0,1,1,Military,French military forces,Military forces enforcing security restrictions in Morocco.
FRENCH MILITARY HEADQUARTERS,FRENCH MILITARY HEADQUARTERS (MINH COMBINED PYUN),CANONICAL_ENTITY:FRENCH_MILITARY_HEADQUARTERS_MINH_COMBINED_PYUN,a3_single_cluster_self,1.0,1,1,Organization,French military headquarters,"French military command in Indochina, reporting on Viet Minh forces."
FRENCH MINISTER BAUDIER,FRENCH MINISTER BAUDIER (SOFIA BULGARIAN RAVNDAL),CANONICAL_ENTITY:FRENCH_MINISTER_BAUDIER_SOFIA_BULGARIAN_RAVNDAL,a3_single_cluster_self,1.0,1,1,Person,French minister Baudier,French minister involved in discussions with Bulgarian officials.
FRENCH MINISTER DELEGATE SEYDOUX,FRENCH MINISTER DELEGATE SEYDOUX (MINH TUNISIA HO),CANONICAL_ENTITY:FRENCH_MINISTER_DELEGATE_SEYDOUX_MINH_TUNISIA_HO,a3_single_cluster_self,1.0,1,1,Person,French minister-delegate Seydoux,French official who commented on anti-American sentiment in Tunisia.
FRENCH MINISTER DUMARCAY,FRENCH MINISTER DUMARCAY (MEDO KIRKBRIDE GREECE),CANONICAL_ENTITY:FRENCH_MINISTER_DUMARCAY_MEDO_KIRKBRIDE_GREECE,a3_single_cluster_self,1.0,1,1,Person,French Minister Dumarcay,French Minister who reported on King Idris's negotiations.
FRENCH MINISTER FOR ASSOCIATED STATES LETOURNEAU,FRENCH MINISTER FOR ASSOCIATED STATES LETOURNEAU (EDVARD FAROUK YUGOSLAVIA),CANONICAL_ENTITY:FRENCH_MINISTER_FOR_ASSOCIATED_STATES_LETOURNEAU_EDVARD_FAROUK_YUGOSLAVIA,a3_single_cluster_self,1.0,1,1,Person,French Minister for Associated States Letourneau,Minister who discussed the repatriation of Chinese Nationalist troops.
FRENCH MINISTER FOR THE ASSOCIATED STATES,FRENCH MINISTER FOR THE ASSOCIATED STATES (EN ARAMCO LAI),CANONICAL_ENTITY:FRENCH_MINISTER_FOR_THE_ASSOCIATED_STATES_EN_ARAMCO_LAI,a3_single_cluster_self,1.0,1,1,Person,French minister for the Associated States,French government official
FRENCH MINISTER TO SOFIA,FRENCH MINISTER TO SOFIA (MARSHAL LATTRE ALLEN),CANONICAL_ENTITY:FRENCH_MINISTER_TO_SOFIA_MARSHAL_LATTRE_ALLEN,a3_single_cluster_self,1.0,1,1,Person,French Minister to Sofia,French diplomatic representative in Bulgaria
FRENCH MINISTRY FOR ASSOCIATED STATES,FRENCH MINISTRY FOR ASSOCIATED STATES (MINH BAO MAO),CANONICAL_ENTITY:FRENCH_MINISTRY_FOR_ASSOCIATED_STATES_MINH_BAO_MAO,a3_single_cluster_self,1.0,1,1,Organization,French Ministry for Associated States,French organization involved in the political situation in Vietnam.
FRENCH MINISTRY OF THE INTERIOR,FRENCH MINISTRY OF THE INTERIOR (TILLON MARTY DUCLOS),CANONICAL_ENTITY:FRENCH_MINISTRY_OF_THE_INTERIOR_TILLON_MARTY_DUCLOS,a3_single_cluster_self,1.0,1,1,Organization,French Ministry of the Interior,The government ministry responsible for internal affairs in France.
FRENCH MISSION,FRENCH MISSION (YAKUBOVSKY PACKARD WILLY),CANONICAL_ENTITY:FRENCH_MISSION_YAKUBOVSKY_PACKARD_WILLY,a3_single_cluster_self,1.0,1,1,Military,French mission,Military mission representing French interests in Germany.
FRENCH NATIONAL AFFAIRS COMMITTEE,FRENCH NATIONAL AFFAIRS COMMITTEE (SPAIN SCHUMAN FRANCO),CANONICAL_ENTITY:FRENCH_NATIONAL_AFFAIRS_COMMITTEE_SPAIN_SCHUMAN_FRANCO,a3_single_cluster_self,1.0,1,1,Organization,French National Affairs Committee,Committee where Schuman made statements
FRENCH NATIONAL FRONT,FRENCH NATIONAL FRONT (LAGAILLARDE MASSU TRIPOLI),CANONICAL_ENTITY:FRENCH_NATIONAL_FRONT_LAGAILLARDE_MASSU_TRIPOLI,a3_single_cluster_self,1.0,1,1,PoliticalGroup,French National Front,Extremist group associated with Joseph Ortiz.
FRENCH NATIONAL POLICE,FRENCH NATIONAL POLICE (BENOIT FRACHON PLANNING),CANONICAL_ENTITY:FRENCH_NATIONAL_POLICE_BENOIT_FRACHON_PLANNING,a3_single_cluster_self,1.0,1,1,Organization,French National Police,The national police force of France.
FRENCH NATO DEPUTY,FRENCH NATO DEPUTY (AURIOL BOURGHIBA THAILAND),CANONICAL_ENTITY:FRENCH_NATO_DEPUTY_AURIOL_BOURGHIBA_THAILAND,a3_single_cluster_self,1.0,1,1,Person,French NATO Deputy,Reportedly expressed sentiments regarding German divisions.
FRENCH NATO DEPUTY ALPHAND,FRENCH NATO DEPUTY ALPHAND (PORTUGAL MEMBERSHIP UNDERSECRETARY),CANONICAL_ENTITY:FRENCH_NATO_DEPUTY_ALPHAND_PORTUGAL_MEMBERSHIP_UNDERSECRETARY,a3_single_cluster_self,1.0,1,1,Person,French NATO Deputy Alphand,French Deputy involved in NATO discussions regarding German membership.
FRENCH NATO REPRESENTATIVE,FRENCH NATO REPRESENTATIVE (NAGIB SHISHAKLI DUTCH),CANONICAL_ENTITY:FRENCH_NATO_REPRESENTATIVE_NAGIB_SHISHAKLI_DUTCH,a3_single_cluster_self,1.0,1,1,Other,French NATO representative,The French NATO representative stated that the Western statement is a serious blow to prospects for French ratification.
FRENCH NATO REPRESENTATIVE ALPHAND,FRENCH NATO REPRESENTATIVE ALPHAND (LUNS POPOVIC MOSCOW),CANONICAL_ENTITY:FRENCH_NATO_REPRESENTATIVE_ALPHAND_LUNS_POPOVIC_MOSCOW,a3_single_cluster_self,1.0,1,1,Person,French NATO representative Alphand,French official concerned about Soviet peace maneuvers
FRENCH NAVAL VESSELS,FRENCH NAVAL VESSELS (IRAN TOULON MANUCHEHR),CANONICAL_ENTITY:FRENCH_NAVAL_VESSELS_IRAN_TOULON_MANUCHEHR,a3_single_cluster_self,1.0,1,1,Military,French naval vessels,Naval forces of France moving toward the eastern Mediterranean
FRENCH NORTH AFRICAN NATIONALISTS,FRENCH NORTH AFRICAN NATIONALISTS (KRISHNA PANDIT MADAME),CANONICAL_ENTITY:FRENCH_NORTH_AFRICAN_NATIONALISTS_KRISHNA_PANDIT_MADAME,a3_single_cluster_self,1.0,1,1,PoliticalGroup,French North African nationalists,Group offered asylum by Egypt.
FRENCH NUCLEAR TEST PROGRAM,FRENCH NUCLEAR TEST PROGRAM (SOHYO KAWAKAMI JOTARO),CANONICAL_ENTITY:FRENCH_NUCLEAR_TEST_PROGRAM_SOHYO_KAWAKAMI_JOTARO,a3_single_cluster_self,1.0,1,1,Other,French Nuclear Test Program,Program involving nuclear tests for weapons research.
FRENCH OFFICER,FRENCH OFFICER (DIEN DELTA TONKIN),CANONICAL_ENTITY:FRENCH_OFFICER_DIEN_DELTA_TONKIN,a3_single_cluster_self,1.0,1,1,Person,French officer,An unnamed French officer expressing opinions on military strategy.
FRENCH OFFICERS,FRENCH OFFICERS (POLAND PHIBUN IRAN),CANONICAL_ENTITY:FRENCH_OFFICERS_POLAND_PHIBUN_IRAN,a3_single_cluster_self,1.0,1,1,Military,French officers,French military personnel concerned about the situation in Tonkin.
FRENCH OFFICIAL IN HANOI,FRENCH OFFICIAL IN HANOI (PRACA INSTRUCTORS FORMOSA),CANONICAL_ENTITY:FRENCH_OFFICIAL_IN_HANOI_PRACA_INSTRUCTORS_FORMOSA,a3_single_cluster_self,1.0,1,1,Person,French official in Hanoi,A senior official representing France in Hanoi.
FRENCH OFFICIALS IN LAOS,FRENCH OFFICIALS IN LAOS (XUYEN SHIGEMITSU TRAN),CANONICAL_ENTITY:FRENCH_OFFICIALS_IN_LAOS_XUYEN_SHIGEMITSU_TRAN,a3_single_cluster_self,1.0,1,1,Organization,French officials in Laos,Officials expressing concerns about Communist control in provinces.
FRENCH PEACE MOVEMENT,FRENCH PEACE MOVEMENT (YVES USIS FARGE),CANONICAL_ENTITY:FRENCH_PEACE_MOVEMENT_YVES_USIS_FARGE,a3_single_cluster_self,1.0,1,1,PoliticalGroup,French Peace Movement,Communist-front organization in France
FRENCH PETROLEUM COMPANIES,FRENCH PETROLEUM COMPANIES (KUWAITI KUWAIT PUBLIC),CANONICAL_ENTITY:FRENCH_PETROLEUM_COMPANIES_KUWAITI_KUWAIT_PUBLIC,a3_single_cluster_self,1.0,1,1,Organization,French Petroleum Companies,Group of French petroleum companies involved in pipeline discussions.
FRENCH POLICE,FRENCH POLICE (VALENTIN MORICE SOUSTELLE),CANONICAL_ENTITY:FRENCH_POLICE_VALENTIN_MORICE_SOUSTELLE,a3_single_cluster_self,1.0,1,1,Organization,French police,Law enforcement agency in France
FRENCH POLISH TRADE AGREEMENT,FRENCH POLISH TRADE AGREEMENT (TURKEY HENDERSON CHEN),CANONICAL_ENTITY:FRENCH_POLISH_TRADE_AGREEMENT_TURKEY_HENDERSON_CHEN,a3_single_cluster_self,1.0,1,1,Document,French-Polish trade agreement,Trade agreement between Poland and France set to expire at the end of June.
FRENCH POLITICAL PARTIES,FRENCH POLITICAL PARTIES (SCHUMAN BIDAULT PINAY),CANONICAL_ENTITY:FRENCH_POLITICAL_PARTIES_SCHUMAN_BIDAULT_PINAY,a3_single_cluster_self,1.0,1,1,PoliticalGroup,French political parties,Major political parties in France expressing views on the government
FRENCH PONDICHERY,FRENCH PONDICHERY (PORTUGAL OSTOROG KARIKAL),CANONICAL_ENTITY:FRENCH_PONDICHERY_PORTUGAL_OSTOROG_KARIKAL,a3_single_cluster_self,1.0,1,1,Location,French Pondichery,A French territory where municipal councils are demanding merger with India.
FRENCH POPULATION,FRENCH POPULATION (CONTROLLER MOROCCANS BUNDESTAG),CANONICAL_ENTITY:FRENCH_POPULATION_CONTROLLER_MOROCCANS_BUNDESTAG,a3_single_cluster_self,1.0,1,1,Other,French population,Local French population in Casablanca
FRENCH PREMIER FAURE,FRENCH PREMIER FAURE (SHIGEMITSU DILLON PHIBUN),CANONICAL_ENTITY:FRENCH_PREMIER_FAURE_SHIGEMITSU_DILLON_PHIBUN,a3_single_cluster_self,1.0,1,1,Person,French premier Faure,French official discussing troop reductions in Indochina
FRENCH PREMIER MAYER,FRENCH PREMIER MAYER (PORTUGAL MEX MAHDI),CANONICAL_ENTITY:FRENCH_PREMIER_MAYER_PORTUGAL_MEX_MAHDI,a3_single_cluster_self,1.0,1,1,Person,French Premier Mayer,French Premier insisting on Saar settlement.
FRENCH PREMIER PINAY,FRENCH PREMIER PINAY (EN LAI CHOU),CANONICAL_ENTITY:FRENCH_PREMIER_PINAY_EN_LAI_CHOU,a3_single_cluster_self,1.0,1,1,Person,French Premier Pinay,French leader considering modifications to the EDC treaty.
FRENCH PRESIDENT,FRENCH PRESIDENT (MARIE TURKEY ISRAEL),CANONICAL_ENTITY:FRENCH_PRESIDENT_MARIE_TURKEY_ISRAEL,a3_single_cluster_self,1.0,1,1,Person,French president,The head of state of France.
FRENCH PRESIDENT COTY,FRENCH PRESIDENT COTY (PAASIKIVI KOENIG FINLAND),CANONICAL_ENTITY:FRENCH_PRESIDENT_COTY_PAASIKIVI_KOENIG_FINLAND,a3_single_cluster_self,1.0,1,1,Person,French president Coty,French president who invited Sultan Ben Arafa to withdraw.
FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS,FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS (OUENZA TBILISI IRON),CANONICAL_ENTITY:FRENCH_PRESIDENT_OF_THE_ALGERIAN_FEDERATION_OF_MAYORS_OUENZA_TBILISI_IRON,a3_single_cluster_self,1.0,1,1,Person,French president of the Algerian federation of mayors,Reported on the destruction of farms in Algeria
FRENCH PRESIDENTIAL RACE,FRENCH PRESIDENTIAL RACE (FORMER FRUIT PACCIARDI),CANONICAL_ENTITY:FRENCH_PRESIDENTIAL_RACE_FORMER_FRUIT_PACCIARDI,a3_single_cluster_self,1.0,1,1,PoliticalGroup,French presidential race,The ongoing political contest for the presidency in France.
FRENCH PRESS,FRENCH PRESS (PRICA YUGOSLAVIA MOLLET),CANONICAL_ENTITY:FRENCH_PRESS_PRICA_YUGOSLAVIA_MOLLET,a3_single_cluster_self,1.0,1,1,Organization,French press,Media outlets in France expressing views on the United States.
FRENCH PRICE ADMINISTRATION,FRENCH PRICE ADMINISTRATION (RENE HALLSTEIN SCHUMAN),CANONICAL_ENTITY:FRENCH_PRICE_ADMINISTRATION_RENE_HALLSTEIN_SCHUMAN,a3_single_cluster_self,1.0,1,1,Government,French Price Administration,French government agency responsible for price control
FRENCH PUPPET GOVERNMENT OF VIETNAM,FRENCH PUPPET GOVERNMENT OF VIETNAM (VATICAN NATIONALS BAO),CANONICAL_ENTITY:FRENCH_PUPPET_GOVERNMENT_OF_VIETNAM_VATICAN_NATIONALS_BAO,a3_single_cluster_self,1.0,1,1,Government,French puppet government of Vietnam,The government in Vietnam supported by France.
FRENCH RADICAL SOCIALIST PARTY,FRENCH RADICAL SOCIALIST PARTY (OSLO BERBER ARAFA),CANONICAL_ENTITY:FRENCH_RADICAL_SOCIALIST_PARTY_OSLO_BERBER_ARAFA,a3_single_cluster_self,1.0,1,1,PoliticalGroup,French Radical Socialist Party,A political party in France that urged action on the throne issue.
FRENCH REPRESENTATION IN LAOS,FRENCH REPRESENTATION IN LAOS (EQUATEUR KASAI GIZENGA),CANONICAL_ENTITY:FRENCH_REPRESENTATION_IN_LAOS_EQUATEUR_KASAI_GIZENGA,a3_single_cluster_self,1.0,1,1,Organization,French representation in Laos,French diplomatic presence in Laos.
FRENCH REPRESENTATIVES,FRENCH REPRESENTATIVES (THEODOR PAYMENTS HOUTTE),CANONICAL_ENTITY:FRENCH_REPRESENTATIVES_THEODOR_PAYMENTS_HOUTTE,a3_single_cluster_self,1.0,1,1,Government,French representatives,Representatives of France involved in discussions about arms restrictions.
FRENCH RESIDENCY GENERAL,FRENCH RESIDENCY GENERAL (MOROCCO GLAOUI RABAT),CANONICAL_ENTITY:FRENCH_RESIDENCY_GENERAL_MOROCCO_GLAOUI_RABAT,a3_single_cluster_self,1.0,1,1,Organization,French Residency General,Prepared actions against the Sultan of Morocco.
FRENCH RESIDENCY IN RABAT,FRENCH RESIDENCY IN RABAT (ISTIQLAL MOSSADEQ BATISTA),CANONICAL_ENTITY:FRENCH_RESIDENCY_IN_RABAT_ISTIQLAL_MOSSADEQ_BATISTA,a3_single_cluster_self,1.0,1,1,Organization,French Residency in Rabat,French administrative authority in Morocco
